strain,date.transformed,host.cell,antibiotics,vector,accession,source.plate.tube,source.kit,creator,other.notes,glycerol.stock.location,burden.assays,miniprep.DNA.concentration.ng.uL.,GFP.inteference,fluorescent.protein,part.type,number.of.subparts,short.part.description,measured,sequenced,sequencing.result
BB288,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K541502,"Plate 1, 11G",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,7.07,FALSE,,Composite,8," ""Promoter Pveg  RBS spoVG and LipA signal peptide for B. subtilis""",TRUE,2.945833333,biobrick.confirmed
BB289,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K914011,"Plate 1, 11H",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp023,6.82,FALSE,,Reporter,4," ""supD-T - intermediate""",TRUE,2.841666667,biobrick.confirmed
BB290,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J52011,"Plate 4, 7A",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp023,9.36,FALSE,,Composite,8," ""dnMyD88-linker-Rluc""",TRUE,3.9,biobrick.confirmed
BB291,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0063,"Plate 4, 7B",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,12.6,FALSE,,Composite,8," ""Promoter (luxR & HSL regulated -- lux pL)<br>""",TRUE,5.25,biobrick.confirmed
BB292,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I751100,"Plate 4, 7C",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,22.9,FALSE,,Composite,3," ""J54140 delPr""",TRUE,9.541666667,not.sequenced
BB293,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0065,"Plate 4, 7D",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,9.47,FALSE,,Coding,1," ""Promoter (lambda cI and luxR regulated -- hybrid)""",TRUE,3.945833333,biobrick.confirmed
BB294,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I759014,"Plate 4, 7E",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp022/exp028,47.5,TRUE,YFP,Composite,3," ""cis2-repressed  tet-regulated YFP""",TRUE,19.79166667,biobrick.confirmed
BB295,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R1051,"Plate 4, 7F",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp035,4.49,FALSE,,Composite,3," ""Promoter  Standard (lambda cI regulated)<br>""",FALSE,1.870833333,biobrick.confirmed
BB296,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I759016,"Plate 4, 7G",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp022/exp028,43.8,TRUE,YFP,Intermediate,8," ""cis4-repressed  tet-regulated YFP""",TRUE,18.25,biobrick.minor.discrepancy
BB297,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R1062,"Plate 4, 7H",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp035,12.2,FALSE,,Intermediate,8," ""Promoter  Standard (luxR and HSL regulated -- lux pR)<br>""",FALSE,5.083333333,not.sequenced
BB298,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I759017,"Plate 4, 7I",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp022/exp028,19.8,TRUE,YFP,Generator,4," ""cis5-repressed  tet-regulated YFP""",TRUE,8.25,biobrick.confirmed
BB299,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0430,"Plate 4, 7J",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp035,16.1,TRUE,YFP,Composite,2," ""EYFP (RBS+ LVA- TERM) (B0034.E0030.B0015)""",FALSE,6.708333333,biobrick.confirmed
BB300,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I759018,"Plate 4, 7K",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023/exp035,31,TRUE,YFP,Regulatory,6," ""cis6-repressed  tet-regulated YFP""",FALSE,12.91666667,not.sequenced
BB301,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0420,"Plate 4, 7L",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp035,22.4,FALSE,CFP,Coding,1," ""ECFP (RBS+ LVA- TERM) (B0034.E0020.B0015)""",FALSE,9.333333333,biobrick.confirmed
BB302,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I759019,"Plate 4, 7M",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023,16.8,TRUE,YFP,RNA,1," ""cis7-repressed  tet-regulated YFP""",FALSE,7,biobrick.major.discrepancy
BB303,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I759020,"Plate 4, 7O",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp035,10.1,TRUE,YFP,RNA,1," ""cis8-repressed  tet-regulated YFP""",FALSE,4.208333333,biobrick.major.discrepancy
BB304,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1149051,"Plate 4, 12M",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,11.4,FALSE,,Regulatory,1," ""Hybrid promoter phaCAB""",FALSE,4.75,not.sequenced
BB305,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1061001,"Plate 4, 12O",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,17.5,FALSE,,Measurement,4," "" apoptin""",FALSE,7.291666667,biobrick.confirmed
BB306,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I712058,"Plate 4, 13A",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,10.2,TRUE,GFP,Composite,3," ""CMVp - myri - TEVP - GFP""",FALSE,4.25,biobrick.minor.discrepancy
BB307,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I712088,"Plate 4, 13C",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,18.2,TRUE,GFP,Composite,2," ""CMV - CD4(shortened) - Cub - GFP""",FALSE,7.583333333,biobrick.major.discrepancy
BB308,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I759005,"Plate 4, 13E",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,6.6,FALSE,,Regulatory,1," ""tet-regulated cro (Weak tetR promoter)""",FALSE,2.75,biobrick.confirmed
BB309,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,S03749,"Plate 4, 13G",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,12.4,FALSE,,Coding,1," ""tet-regulated cro (Strong tetR promoter)""",FALSE,5.166666667,biobrick.minor.discrepancy
BB310,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J45319,"Plate 4, 13K",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,FALSE,,Regulatory,1," ""PchA & PchB enzyme generator""",FALSE,#VALUE!,biobrick.confirmed
BB311,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I712669,"Plate 4, 13M",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp054/exp051/exp050/exp035,NA,FALSE,,Composite,2," ""CMV - mCer""",TRUE,0,biobrick.minor.discrepancy
BB312,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I761014,"Plate 4, 13O",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,FALSE,,Coding,1," ""cinr+cinl (RBS) with double terminator""",FALSE,0,biobrick.confirmed
BB313,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1061003,"Plate 4, 14A",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,18.3,FALSE,,Composite,3," ""RIP 3""",FALSE,7.625,not.sequenced
BB314,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K115001,"Plate 4, 15A",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,FALSE,,Composite,1," ""RNA thermometer (ROSE)""",FALSE,0,biobrick.confirmed
BB315,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K115002,"Plate 4, 15C",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,FALSE,,DNA,1," ""RNA thermometer (FourU)""",FALSE,0,biobrick.confirmed
BB316,,,,,,,,,,,,NA,FALSE,,Composite,1,,FALSE,0,NA
BB317,,,,,,,,,,,exp011/exp035,NA,FALSE,,Translational_Unit,2,,TRUE,0,NA
BB318,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K588001,"Plate 1, 8A",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp035,NA,FALSE,,DNA,1," ""ptrp""",TRUE,0,biobrick.confirmed
BB319,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K564013,"Plate 1, 8B",spring 2018 iGEM distribution,Noor Radde ,,Green Box,,NA,FALSE,,Intermediate,2," ""Upstream mutated chitoporin part fused with lacZ """,FALSE,0,NA
BB320,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K515100,"Plate 1, 8D",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp053/exp035,NA,FALSE,,Intermediate,2," ""IAA biosynthetic genes under control of the Pveg2 promoter""",TRUE,0,biobrick.confirmed
BB321,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K515102,"Plate 1, 8F",spring 2018 iGEM distribution,Noor Radde ,,Green Box,,NA,FALSE,,Intermediate,5," ""J23100 promoter - PA2652""",FALSE,0,NA
BB322,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K611025,"Plate 1, 8G",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp035,NA,FALSE,,Intermediate,2," ""LacI Promoter Variant #5""",TRUE,1,biobrick.confirmed
BB323,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523013,"Plate 1, 8H",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp015,NA,TRUE,YFP,Translational_Unit,2," ""Plac + INP-EYFP""",TRUE,0,not.sequenced
BB324,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K611026,"Plate 1, 8I",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,NA,FALSE,,Intermediate,2," ""LacI Promoter Variant #6""",TRUE,1,biobrick.confirmed
BB325,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523014,"Plate 1, 8J",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,18,FALSE,,Reporter,4," ""Plac + LacZ + bglX""",TRUE,7.5,biobrick.confirmed
BB326,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K569017,"Plate 1, 8K",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,15.4,FALSE,,Intermediate,4," ""CheY""",TRUE,6.416666667,biobrick.confirmed
BB327,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523015,"Plate 1, 8L",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,9.51,FALSE,,Reporter,4," ""Plac + RBS + cenA (endoglucanase)""",TRUE,3.9625,biobrick.minor.discrepancy
BB328,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523020,"Plate 1, 8N",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp026,17.4,FALSE,,Reporter,1," ""Plac + INP-bglX""",TRUE,7.25,biobrick.major.discrepancy
BB329,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K617004,"Plate 1, 8O",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,12.5,FALSE,,Reporter,4, Confirmed(A),TRUE,5.208333333,biobrick.confirmed
BB330,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523022,"Plate 1, 8P",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011/exp026,3.47,FALSE,,Reporter,1," ""PlacLacZ + crtEIB""",TRUE,1.445833333,biobrick.major.discrepancy
BB331,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,S04602,"Plate 1, 9A",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011,NA,FALSE,,Device,4," ""B0034:C0077""",TRUE,0,biobrick.confirmed
BB332,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K817016,"Plate 1, 9B",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp016,NA,FALSE,,Composite,1," ""parS site""",FALSE,0,NA
BB333,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,S04607,"Plate 1, 9C",spring 2018 iGEM distribution,Angela Pak,,Green Box,,7.39,FALSE,,Composite,6," ""R0011:C0077""",FALSE,3.079166667,NA
BB334,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K817021,"Plate 1, 9D",spring 2018 iGEM distribution,Angela Pak,,Green Box,,3.23,FALSE,,Protein_Domain,1," ""RBS-SP1-Penetratin-Flag""",FALSE,1.345833333,NA
BB335,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K568006,"Plate 1, 9E",spring 2018 iGEM distribution,Angela Pak,,Green Box,,NA,FALSE,,Protein_Domain,1," ""Intermediate synthetic part of optogenetical AND-Gate""",FALSE,0,NA
BB336,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K817022,"Plate 1, 9F",spring 2018 iGEM distribution,Angela Pak,,Green Box,,2.7,FALSE,,Protein_Domain,1," ""RBS-SP2-Penetratin-Flag""",FALSE,1.125,NA
BB337,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K516011,"Plate 1, 9G",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011,8.67,FALSE,,Protein_Domain,1," ""luxI protein generator TERM- RBS+(B0031)""",TRUE,3.6125,biobrick.confirmed
BB338,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K817023,"Plate 1, 9H",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015,14.7,FALSE,,Protein_Domain,1," ""RBS-SP3-Penetratin-Flag""",TRUE,6.125,biobrick.confirmed
BB339,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K516030,"Plate 1, 9I",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015,8.36,FALSE,,Translational_Unit,1," ""mRFP protein generator TERM+ RBS+(B0030)""",TRUE,3.483333333,biobrick.confirmed
BB340,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K817024,"Plate 1, 9J",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015,11.4,FALSE,,Translational_Unit,1," ""RBS-SP1-Penetratin-Flag-xx""",TRUE,4.75,biobrick.confirmed
BB341,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K516031,"Plate 1, 9K",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011,4.96,FALSE,,Signalling,7," ""mRFP protein generator TERM+ RBS+(B0031)""",TRUE,2.066666667,biobrick.confirmed
BB342,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K763001,"Plate 1, 9L",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011/exp026,3.29,FALSE,RFP,Signalling,7," ""pGroE + Gene encoding AsRed2""",TRUE,1.370833333,biobrick.confirmed
BB343,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K516032,"Plate 1, 9M",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp023,9.06,FALSE,,Generator,2," ""mRFP protein generator TERM+ RBS+(B0032)""",FALSE,3.775,NA
BB344,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K763002,"Plate 1, 9N",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015 ,8.11,TRUE,GFP,Regulatory,1," ""pNirB  + Gene encoding ZsGreen1""",FALSE,3.379166667,NA
BB345,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K516022,"Plate 1, 9O",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015 ,12.5,FALSE,,Device,15," ""AiiA protein generator TERM+ RBS+(B0032)""",TRUE,5.208333333,biobrick.confirmed
BB346,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523023,"Plate 1, 10B",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015 ,12.3,TRUE,YFP,Device,7," ""PlacLacZ + EYFP""",TRUE,5.125,biobrick.confirmed
BB347,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K562004,"Plate 1, 10C",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp023,7.48,FALSE,,Composite,2,"""Salty_PduJK BMC Components""",FALSE,3.116666667,NA
BB348,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K568004,"Plate 1, 10D",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp023,NA,FALSE,,Composite,8," ""Optogenetical AND-Gate blue light - without first promoter - choose your first input""",TRUE,0,not.sequenced
BB349,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747003,"Plate 2, 2G",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Device,11," ""TAL-Protein_AT1_Direpeat""",TRUE,0,not.sequenced
BB350,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,B0031,"Plate 2, 2H",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Terminator,1," ""RBS.2 (weak) -- derivative of 0030""",FALSE,0,NA
BB351,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747004,"Plate 2, 2I",,Jordan Clements,,Green Box,exp014 ,NA,FALSE,,Coding,1," ""TAL-Protein_CA1_Direpeat""",TRUE,0,not.sequenced
BB352,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,B0032,"Plate 2, 2J",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Regulatory,1," ""RBS.3 (medium) -- derivative of 0030""",TRUE,0,not.sequenced
BB353,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747005,"Plate 2, 2K",,Jordan Clements,,Green Box,exp014,NA,FALSE,,RBS,1," ""TAL-Protein_CC1_Direpeat""",TRUE,0,not.sequenced
BB354,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,B0033,"Plate 2, 2L",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Translational_Unit,2," ""RBS.4 (weaker) -- derivative of 0030""",TRUE,0,not.sequenced
BB355,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747006,"Plate 2, 2M",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Regulatory,1," ""TAL-Protein_CG1_Direpeat""",FALSE,0,NA
BB356,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,C0012,"Plate 2, 2N",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Regulatory,1," ""lacI repressor  from E. coli (+LVA)""",TRUE,0,not.sequenced
BB357,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K747007,"Plate, 2O",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Regulatory,1," ""TAL-Protein_CT1_Direpeat""",TRUE,0,not.sequenced
BB358,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,C0040,"Plate 2, 2P",,Jordan Clements,,Green Box,,NA,FALSE,,Reporter,5," ""tetracycline repressor from transposon Tn10 (+LVA)""",FALSE,0,NA
BB359,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K773003,"Plate 2, 3B",,Jordan Clements,,Green Box,exp014,NA,FALSE,RFP,Signalling,4," ""mCherry-LVA""",TRUE,0,not.sequenced
BB360,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K773004,"Plate 2, 3D",,Jordan Clements,,Green Box,exp014,NA,FALSE,RFP,Translational_Unit,2," ""mCherry-AAV""",TRUE,0,not.sequenced
BB361,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K574005,"Plate 2, 3E",,Jordan Clements,,Green Box,exp021,NA,TRUE,YFP,Intermediate,2," ""3OC12HSL and YFP regulated by pBad""",FALSE,0,NA
BB362,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K880005,"Plate 2, 3F",,Jordan Clements,,Green Box,exp014,NA,FALSE,,Reporter,1," ""Strong promoter  strong RBS combination for high expression levels of proteins""",TRUE,0,not.sequenced
BB363,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K801010,"Plate 2, 3H",,Jordan Clements,,Green Box,,NA,FALSE,,Reporter,1," ""TEF2 constitutive yeast promoter""",FALSE,0,NA
BB364,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K658001,"Plate 2, 3I",,Jordan Clements,,Green Box,,NA,FALSE,,Reporter,1," ""a bacteria population-control device with RBS1.0 driven by lacl+pL""",FALSE,0,NA
BB365,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K561000,"Plate 2, 3K",,Jordan Clements,,Green Box,,NA,TRUE,YFP,Reporter,1," ""Pvgb+YFP+tetR""",FALSE,0,NA
BB366,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K784006,"Plate 2, 3L",,Jordan Clements,,Green Box,exp014,NA,FALSE,RFP,Coding,1," ""Theophylline riboswitch 12.1 + mCherry""",TRUE,0,not.sequenced
BB367,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K649303,"plate 2, 3A",,Jordan Clements,,Green Box,,NA,FALSE,,Regulatory,1," ""PlacIQ-RBS-ispS""",FALSE,0,NA
BB368,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K519030,"Plate 2, 3C",,Jordan Clements,,Green Box,,NA,FALSE,,Regulatory,1," ""Photocontrol device""",FALSE,0,NA
BB369,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K574005,"Plate 2, 3E",,Jordan Clements,,Green Box,,NA,TRUE,YFP,Reporter,5," ""3OC12HSL and YFP regulated by pBad""",FALSE,0,NA
BB370,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K574006,"Plate 2, 3G",,Jordan Clements,,Green Box,,NA,FALSE,,Regulatory,1," ""3OC12HSL regulated by pTet and pBad""",FALSE,0,NA
BB371,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K801012,"Plate 2, 3J",,Jordan Clements,,Green Box,,NA,FALSE,,Regulatory,1," ""ADH1 yeast terminator""",FALSE,0,NA
BB372,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K629005,"Plate 2, 3M",,Jordan Clements,,Green Box,,NA,FALSE,,RNA,1," ""trkD  a functional Kup (formerly TrkD) system took up Cs+ with a moderate rate and affinity""",FALSE,0,NA
BB373,6.16.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23117,"Plate 4, 19P",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023/exp054/exp051/exp050/exp045,21.9,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,9.125,NA
BB374,6.16.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,J61101,"Plate 4, 16E",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023,11.2,FALSE,,Generator,1," ""Ribosome Binding Site Family Member""",FALSE,4.666666667,NA
BB375,6.16.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I15016,"Plate 4, 21L",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023,18.3,FALSE,CFP,Generator,1," ""B0032.ECFP""",FALSE,7.625,NA
BB376,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0079,"Plate 4, 11B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,2.14,FALSE,,Other,1," ""Promoter (LasR & PAI regulated)""",TRUE,0.891666667,biobrick.confirmed
BB377,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0071,"Plate 4, 11D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.93,FALSE,,Generator,1," ""Promoter (RhlR & C4-HSL regulated)""",TRUE,0.804166667,biobrick.confirmed
BB378,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0080,"Plate 4, 11F",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.92,FALSE,,Coding,1," ""Promoter (AraC regulated)""",TRUE,0.8,biobrick.confirmed
BB379,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13602,"Plate 4, 11J",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp054/exp051/exp050/exp034,1.01,FALSE,,Device,2," ""Tet operator with CFP reporter (with LVA tag) [R/Tc+]""",TRUE,0.420833333,biobrick.confirmed
BB380,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1AK3,J04450,"Plate 4, 12B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,0.661,FALSE,RFP,Regulatory,1," ""RFP Coding Device""",TRUE,0.275416667,NA
BB381,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1AK8,J04450,"Plate 4, 12D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,0.526,FALSE,RFP,Reporter,8," ""RFP Coding Device""",TRUE,0.219166667,NA
BB382,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I0466,"Plate 4, 13B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.09,FALSE,,Generator,4," ""RhlR Protein Generator""",TRUE,0.454166667,biobrick.confirmed
BB383,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0261,"Plate 4, 13D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.54,FALSE,,Composite,3," ""AHL-making Enzyme  luxI (+RBS)""",TRUE,0.641666667,biobrick.confirmed
BB384,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,S03154,"Plate 4, 13F",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,FALSE,,Coding,1," ""B0034.C0078""",TRUE,1,not.sequenced
BB385,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0036,"Plate 4, 13J",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,TRUE,YFP,Composite,3," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",TRUE,1,not.sequenced
BB386,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0024,"Plate 4, 13N",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,1.44,FALSE,CFP,Protein_Domain,1," ""enhanced cyan fluorescent protein derived from A. victoria GFP""",TRUE,0.6,biobrick.confirmed
BB387,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0026,"Plate 4, 13P",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024/exp054/exp051/exp050,NA,FALSE,CFP,Coding,1," ""enhanced cyan fluorescent protein derived from A. victoria GFP""",TRUE,0,not.sequenced
BB388,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0034,"Plate 4, 15B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,1.25,TRUE,YFP,Protein_Domain,1," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",TRUE,0.520833333,biobrick.confirmed
BB389,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0160,"Plate 4, 15D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,1.19,FALSE,,Coding,1," ""autoinducer inactivation enzyme aiiA (no LVA)""",TRUE,0.495833333,biobrick.confirmed
BB390,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0084,"Plate 4, 15F",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,FALSE,,Protein_Domain,1," ""Promoter (OmpR  positive)""",TRUE,1,not.sequenced
