strain,DATE,SPECIES.SUBTYPE,antibiotic,vector,accession,NOTES.RE..CONTRUCTION..ORIGIN..PHENOTYPE,STRAIN.ACQUIRED.FROM.PARENT.STRAIN,DEPOSITOR,OTHER.NOTES,GLYCEROL.STOCK.LOCATION,BURDEN.ASSAY,MINIPREP.DNA.CONCENTRATION..ng.uL.,SEQUENCED...0..IF.NOT,SEQUENCE.CONFIRMED.,GFP.inteference,fluorescent.protein,TYPE,SUBPARTS,SHORT.DESCRIPTION.,measured
BB287,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K914003,"Plate 1, 11F",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,8.11,3.379166667,,FALSE,,Reporter,4," ""L-rhamnose-inducible promoter (pRha)""",TRUE
BB288,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K541502,"Plate 1, 11G",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,7.07,2.945833333,,FALSE,,Composite,8," ""Promoter Pveg  RBS spoVG and LipA signal peptide for B. subtilis""",TRUE
BB289,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K914011,"Plate 1, 11H",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp023,6.82,2.841666667,,FALSE,,Reporter,4," ""supD-T - intermediate""",TRUE
BB290,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J52011,"Plate 4, 7A",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp023,9.36,3.9,,FALSE,,Composite,8," ""dnMyD88-linker-Rluc""",TRUE
BB291,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0063,"Plate 4, 7B",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,12.6,5.25,,FALSE,,Composite,8," ""Promoter (luxR & HSL regulated -- lux pL)<br>""",TRUE
BB292,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I751100,"Plate 4, 7C",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,22.9,9.541666667,,FALSE,,Composite,3," ""J54140 delPr""",TRUE
BB293,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0065,"Plate 4, 7D",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,9.47,3.945833333,,FALSE,,Coding,1," ""Promoter (lambda cI and luxR regulated -- hybrid)""",TRUE
BB294,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I759014,"Plate 4, 7E",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp022/exp028,47.5,19.79166667,,FALSE,,Composite,3," ""cis2-repressed  tet-regulated YFP""",TRUE
BB295,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R1051,"Plate 4, 7F",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp035,4.49,1.870833333,,FALSE,,Composite,3," ""Promoter  Standard (lambda cI regulated)<br>""",FALSE
BB296,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I759016,"Plate 4, 7G",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp022/exp028,43.8,18.25,,TRUE,YFP,Intermediate,8," ""cis4-repressed  tet-regulated YFP""",TRUE
BB297,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R1062,"Plate 4, 7H",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp035,12.2,5.083333333,,FALSE,,Intermediate,8," ""Promoter  Standard (luxR and HSL regulated -- lux pR)<br>""",FALSE
BB298,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I759017,"Plate 4, 7I",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp022/exp028,19.8,8.25,,TRUE,YFP,Generator,4," ""cis5-repressed  tet-regulated YFP""",TRUE
BB299,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0430,"Plate 4, 7J",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp035,16.1,6.708333333,,TRUE,YFP,Composite,2," ""EYFP (RBS+ LVA- TERM) (B0034.E0030.B0015)""",FALSE
BB300,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I759018,"Plate 4, 7K",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023/exp035,31,12.91666667,,TRUE,YFP,Regulatory,6," ""cis6-repressed  tet-regulated YFP""",FALSE
BB301,06.06.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0420,"Plate 4, 7L",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp035,22.4,9.333333333,,FALSE,CFP,Coding,1," ""ECFP (RBS+ LVA- TERM) (B0034.E0020.B0015)""",FALSE
BB302,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I759019,"Plate 4, 7M",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023,16.8,7,,TRUE,YFP,RNA,1," ""cis7-repressed  tet-regulated YFP""",FALSE
BB303,06.06.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I759020,"Plate 4, 7O",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp035,10.1,4.208333333,,TRUE,YFP,RNA,1," ""cis8-repressed  tet-regulated YFP""",FALSE
BB304,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1149051,"Plate 4, 12M",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,11.4,4.75,,FALSE,,Regulatory,1," ""Hybrid promoter phaCAB""",FALSE
BB305,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1061001,"Plate 4, 12O",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,17.5,7.291666667,,FALSE,,Measurement,4," "" apoptin""",FALSE
BB306,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I712058,"Plate 4, 13A",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,10.2,4.25,,TRUE,GFP,Composite,3," ""CMVp - myri - TEVP - GFP""",FALSE
BB307,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I712088,"Plate 4, 13C",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,18.2,7.583333333,,TRUE,GFP,Composite,2," ""CMV - CD4(shortened) - Cub - GFP""",FALSE
BB308,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I759005,"Plate 4, 13E",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,6.6,2.75,,FALSE,,Regulatory,1," ""tet-regulated cro (Weak tetR promoter)""",FALSE
BB309,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_S03749,"Plate 4, 13G",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,12.4,5.166666667,,FALSE,,Coding,1," ""tet-regulated cro (Strong tetR promoter)""",FALSE
BB310,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J45319,"Plate 4, 13K",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,#VALUE!,,FALSE,,Regulatory,1," ""PchA & PchB enzyme generator""",FALSE
BB311,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I712669,"Plate 4, 13M",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp054/exp051/exp050/exp035,NA,0,,FALSE,,Composite,2," ""CMV - mCer""",TRUE
BB312,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I761014,"Plate 4, 13O",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,0,,FALSE,,Coding,1," ""cinr+cinl (RBS) with double terminator""",FALSE
BB313,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1061003,"Plate 4, 14A",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,18.3,7.625,,FALSE,,Composite,3," ""RIP 3""",FALSE
BB314,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K115001,"Plate 4, 15A",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,0,,FALSE,,Composite,1," ""RNA thermometer (ROSE)""",FALSE
BB315,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K115002,"Plate 4, 15C",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp023/exp035,NA,0,,FALSE,,DNA,1," ""RNA thermometer (FourU)""",FALSE
BB316,,,,,,,,,,,,NA,0,,FALSE,,Composite,1,,FALSE
BB317,,,,,,,,,,,exp011/exp035,NA,0,,FALSE,,Translational_Unit,2,,TRUE
BB318,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K588001,"Plate 1, 8A",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp035,NA,0,,FALSE,,DNA,1," ""ptrp""",TRUE
BB319,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K564013,"Plate 1, 8B",spring 2018 iGEM distribution,Noor Radde ,,Green Box,,NA,0,,FALSE,,Intermediate,2," ""Upstream mutated chitoporin part fused with lacZ """,FALSE
BB320,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K515100,"Plate 1, 8D",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp053/exp035,NA,0,,FALSE,,Intermediate,2," ""IAA biosynthetic genes under control of the Pveg2 promoter""",TRUE
BB321,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K515102,"Plate 1, 8F",spring 2018 iGEM distribution,Noor Radde ,,Green Box,,NA,0,,FALSE,,Intermediate,5," ""J23100 promoter - PA2652""",FALSE
BB322,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K611025,"Plate 1, 8G",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp035,NA,1,,FALSE,,Intermediate,2," ""LacI Promoter Variant #5""",TRUE
BB323,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523013,"Plate 1, 8H",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp015,NA,0,,FALSE,,Translational_Unit,2," ""Plac + INP-EYFP""",TRUE
BB324,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K611026,"Plate 1, 8I",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,NA,1,,FALSE,,Intermediate,2," ""LacI Promoter Variant #6""",TRUE
BB325,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523014,"Plate 1, 8J",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,18,7.5,,FALSE,,Reporter,4," ""Plac + LacZ + bglX""",TRUE
BB326,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K569017,"Plate 1, 8K",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,15.4,6.416666667,,FALSE,,Intermediate,4," ""CheY""",TRUE
BB327,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523015,"Plate 1, 8L",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,9.51,3.9625,,FALSE,,Reporter,4," ""Plac + RBS + cenA (endoglucanase)""",TRUE
BB328,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523020,"Plate 1, 8N",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011/exp026,17.4,7.25,,FALSE,,Reporter,1," ""Plac + INP-bglX""",TRUE
BB329,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K617004,"Plate 1, 8O",spring 2018 iGEM distribution,Noor Radde ,,Green Box,exp011,12.5,5.208333333,,FALSE,,Reporter,4, Confirmed(A),TRUE
BB330,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523022,"Plate 1, 8P",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011/exp026,3.47,1.445833333,,FALSE,,Reporter,1," ""PlacLacZ + crtEIB""",TRUE
BB331,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_S04602,"Plate 1, 9A",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011,NA,0,,FALSE,,Device,4," ""B0034:C0077""",TRUE
BB332,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K817016,"Plate 1, 9B",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp016,NA,0,,FALSE,,Composite,1," ""parS site""",FALSE
BB333,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_S04607,"Plate 1, 9C",spring 2018 iGEM distribution,Angela Pak,,Green Box,,7.39,3.079166667,,FALSE,,Composite,6," ""R0011:C0077""",FALSE
BB334,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K817021,"Plate 1, 9D",spring 2018 iGEM distribution,Angela Pak,,Green Box,,3.23,1.345833333,,FALSE,,Protein_Domain,1," ""RBS-SP1-Penetratin-Flag""",FALSE
BB335,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K568006,"Plate 1, 9E",spring 2018 iGEM distribution,Angela Pak,,Green Box,,NA,0,,FALSE,,Protein_Domain,1," ""Intermediate synthetic part of optogenetical AND-Gate""",FALSE
BB336,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K817022,"Plate 1, 9F",spring 2018 iGEM distribution,Angela Pak,,Green Box,,2.7,1.125,,FALSE,,Protein_Domain,1," ""RBS-SP2-Penetratin-Flag""",FALSE
BB337,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K516011,"Plate 1, 9G",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011,8.67,3.6125,,FALSE,,Protein_Domain,1," ""luxI protein generator TERM- RBS+(B0031)""",TRUE
BB338,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K817023,"Plate 1, 9H",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015,14.7,6.125,,FALSE,,Protein_Domain,1," ""RBS-SP3-Penetratin-Flag""",TRUE
BB339,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K516030,"Plate 1, 9I",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015,8.36,3.483333333,,FALSE,,Translational_Unit,1," ""mRFP protein generator TERM+ RBS+(B0030)""",TRUE
BB340,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K817024,"Plate 1, 9J",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015,11.4,4.75,,FALSE,,Translational_Unit,1," ""RBS-SP1-Penetratin-Flag-xx""",TRUE
BB341,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K516031,"Plate 1, 9K",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011,4.96,2.066666667,,FALSE,,Signalling,7," ""mRFP protein generator TERM+ RBS+(B0031)""",TRUE
BB342,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K763001,"Plate 1, 9L",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp011/exp026,3.29,1.370833333,,FALSE,RFP,Signalling,7," ""pGroE + Gene encoding AsRed2""",TRUE
BB343,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K516032,"Plate 1, 9M",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp023,9.06,3.775,,FALSE,,Generator,2," ""mRFP protein generator TERM+ RBS+(B0032)""",FALSE
BB344,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K763002,"Plate 1, 9N",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015 ,8.11,3.379166667,,TRUE,GFP,Regulatory,1," ""pNirB  + Gene encoding ZsGreen1""",FALSE
BB345,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K516022,"Plate 1, 9O",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015 ,12.5,5.208333333,,FALSE,,Device,15," ""AiiA protein generator TERM+ RBS+(B0032)""",TRUE
BB346,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523023,"Plate 1, 10B",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp015 ,12.3,5.125,,TRUE,YFP,Device,7," ""PlacLacZ + EYFP""",TRUE
BB347,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K562004,"Plate 1, 10C",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp023,7.48,3.116666667,,FALSE,,Composite,2,"""Salty_PduJK BMC Components""",FALSE
BB348,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K568004,"Plate 1, 10D",spring 2018 iGEM distribution,Angela Pak,,Green Box,exp023,NA,0,,FALSE,,Composite,8," ""Optogenetical AND-Gate blue light - without first promoter - choose your first input""",TRUE
BB349,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K747003,"Plate 2, 2G",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Device,11," ""TAL-Protein_AT1_Direpeat""",TRUE
BB350,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_B0031,"Plate 2, 2H",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Terminator,1," ""RBS.2 (weak) -- derivative of BBa_0030""",FALSE
BB351,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K747004,"Plate 2, 2I",,Jordan Clements,,Green Box,exp014 ,NA,0,,FALSE,,Coding,1," ""TAL-Protein_CA1_Direpeat""",TRUE
BB352,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_B0032,"Plate 2, 2J",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Regulatory,1," ""RBS.3 (medium) -- derivative of BBa_0030""",TRUE
BB353,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K747005,"Plate 2, 2K",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,RBS,1," ""TAL-Protein_CC1_Direpeat""",TRUE
BB354,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_B0033,"Plate 2, 2L",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Translational_Unit,2," ""RBS.4 (weaker) -- derivative of BBa_0030""",TRUE
BB355,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K747006,"Plate 2, 2M",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Regulatory,1," ""TAL-Protein_CG1_Direpeat""",FALSE
BB356,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_C0012,"Plate 2, 2N",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Regulatory,1," ""lacI repressor  from E. coli (+LVA)""",TRUE
BB357,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K747007,"Plate, 2O",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Regulatory,1," ""TAL-Protein_CT1_Direpeat""",TRUE
BB358,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_C0040,"Plate 2, 2P",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Reporter,5," ""tetracycline repressor from transposon Tn10 (+LVA)""",FALSE
BB359,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K773003,"Plate 2, 3B",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,RFP,Signalling,4," ""mCherry-LVA""",TRUE
BB360,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K773004,"Plate 2, 3D",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,RFP,Translational_Unit,2," ""mCherry-AAV""",TRUE
BB361,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K574005,"Plate 2, 3E",,Jordan Clements,,Green Box,exp021,NA,0,,TRUE,YFP,Intermediate,2," ""3OC12HSL and YFP regulated by pBad""",FALSE
BB362,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K880005,"Plate 2, 3F",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,,Reporter,1," ""Strong promoter  strong RBS combination for high expression levels of proteins""",TRUE
BB363,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K801010,"Plate 2, 3H",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Reporter,1," ""TEF2 constitutive yeast promoter""",FALSE
BB364,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K658001,"Plate 2, 3I",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Reporter,1," ""a bacteria population-control device with RBS1.0 driven by lacl+pL""",FALSE
BB365,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K561000,"Plate 2, 3K",,Jordan Clements,,Green Box,,NA,0,,TRUE,YFP,Reporter,1," ""Pvgb+YFP+tetR""",FALSE
BB366,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K784006,"Plate 2, 3L",,Jordan Clements,,Green Box,exp014,NA,0,,FALSE,RFP,Coding,1," ""Theophylline riboswitch 12.1 + mCherry""",TRUE
BB367,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K649303,"plate 2, 3A",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Regulatory,1," ""PlacIQ-RBS-ispS""",FALSE
BB368,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K519030,"Plate 2, 3C",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Regulatory,1," ""Photocontrol device""",FALSE
BB369,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K574005,"Plate 2, 3E",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Reporter,5," ""3OC12HSL and YFP regulated by pBad""",FALSE
BB370,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K574006,"Plate 2, 3G",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Regulatory,1," ""3OC12HSL regulated by pTet and pBad""",FALSE
BB371,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K801012,"Plate 2, 3J",,Jordan Clements,,Green Box,,NA,0,,FALSE,,Regulatory,1," ""ADH1 yeast terminator""",FALSE
BB372,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K629005,"Plate 2, 3M",,Jordan Clements,,Green Box,,NA,0,,FALSE,,RNA,1," ""trkD  a functional Kup (formerly TrkD) system took up Cs+ with a moderate rate and affinity""",FALSE
BB373,6.16.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23117,"Plate 4, 19P",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023/exp054/exp051/exp050/exp045,21.9,9.125,,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE
BB374,6.16.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_J61101,"Plate 4, 16E",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023,11.2,4.666666667,,FALSE,,Generator,1," ""Ribosome Binding Site Family Member""",FALSE
BB375,6.16.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I15016,"Plate 4, 21L",spring 2018 iGEM distribution,Diya Bhat,,Green Box,exp023,18.3,7.625,,FALSE,CFP,Generator,1," ""B0032.ECFP""",FALSE
BB376,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0079,"Plate 4, 11B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,2.14,0.891666667,No,FALSE,,Other,1," ""Promoter (LasR & PAI regulated)""",TRUE
BB377,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0071,"Plate 4, 11D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.93,0.804166667,No,FALSE,,Generator,1," ""Promoter (RhlR & C4-HSL regulated)""",TRUE
BB378,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0080,"Plate 4, 11F",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.92,0.8,No,FALSE,,Coding,1," ""Promoter (AraC regulated)""",TRUE
BB379,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I13602,"Plate 4, 11J",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp054/exp051/exp050/exp034,1.01,0.420833333,No,FALSE,,Device,2," ""Tet operator with CFP reporter (with LVA tag) [R/Tc+]""",TRUE
BB380,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1AK3,BBa_J04450,"Plate 4, 12B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,0.661,0.275416667,No,FALSE,RFP,Regulatory,1," ""RFP Coding Device""",TRUE
BB381,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1AK8,BBa_J04450,"Plate 4, 12D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,0.526,0.219166667,No,FALSE,RFP,Reporter,8," ""RFP Coding Device""",TRUE
BB382,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I0466,"Plate 4, 13B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.09,0.454166667,No,FALSE,,Generator,4," ""RhlR Protein Generator""",TRUE
BB383,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0261,"Plate 4, 13D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp016/exp034,1.54,0.641666667,No,FALSE,,Composite,3," ""AHL-making Enzyme  luxI (+RBS)""",TRUE
BB384,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_S03154,"Plate 4, 13F",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,1,No,FALSE,,Coding,1," ""B0034.C0078""",TRUE
BB385,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0036,"Plate 4, 13J",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,1,No,TRUE,YFP,Composite,3," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",TRUE
BB386,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0024,"Plate 4, 13N",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,1.44,0.6,No,FALSE,CFP,Protein_Domain,1," ""enhanced cyan fluorescent protein derived from A. victoria GFP""",TRUE
BB387,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0026,"Plate 4, 13P",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024/exp054/exp051/exp050,NA,0,No,FALSE,CFP,Coding,1," ""enhanced cyan fluorescent protein derived from A. victoria GFP""",TRUE
BB388,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0034,"Plate 4, 15B",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,1.25,0.520833333,No,TRUE,YFP,Protein_Domain,1," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",TRUE
BB389,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0160,"Plate 4, 15D",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,1.19,0.495833333,No,FALSE,,Coding,1," ""autoinducer inactivation enzyme aiiA (no LVA)""",TRUE
BB390,6.19.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0084,"Plate 4, 15F",spring 2018 iGEM distribution,Shireen Shah,,Green Box,exp024,NA,1,No,FALSE,,Protein_Domain,1," ""Promoter (OmpR  positive)""",TRUE
